id,name,is_company,ref,lang,customer_rank,supplier_rank,country_id,zip,city,street,phone,mobile,email,vat,company_registry,comment
soc_41136658,ICADE Promotion,1,411227,fr_FR,1,0,France,92800,Puteaux,TOUR HYFIVE 1 Avenue du Général de Gaulle,06.20.59.59.88,06.20.59.59.88,,FR86784606576,78460657600907,"form-gtm1, form-gtm2 || intra-distanciel || https://www.formations-analytics.com/contact/"
soc_40790084,France Travail DR Nouvelle Aquitaine,1,411224,fr_FR,1,0,France,33100,Bordeaux,87 rue Nuyens,,,,FR19130005481,13000548119424,"form-bq1, form-bq2 || inter-distanciel || https://www.formations-analytics.com/contact/"
soc_39845502,Sésame,1,411219,fr_FR,1,0,France,75009,Paris,"18, rue de Londres",01.45.85.69.85,01.45.85.69.85,,FR76418001798,41800179800036,form-genai2 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_39388898,Prevor,1,411216,fr_FR,1,0,France,95760,Valmondois,Ld Moulin De Verville,,,,FR81718201312,71820131200011,
soc_38366436,GEMO SERVICES,1,411212,fr_FR,1,0,France,49110,MONTREVAULT SUR EVRE,"Route de Chaudron en mauges, Saint Pierre Montlimart",06.62.06.28.16,06.62.06.28.16,,,,form-bq1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_38129634,Saint Etienne Métropole,1,411211,fr_FR,1,0,France,42000,Saint-Etienne,2 Avenue Gruner,06.18.67.05.09,06.18.67.05.09,,FR25244200770,24420077000117,"form-ma1, form-pw1, form-pw2, form-gtm1, form-gtm2, form-gtm3, form-sgtm1 || intra-presentiel || https://www.formations-analytics.com/contact/"
soc_38015216,FORMACTIF SIMULAGE,1,411210,fr_FR,1,0,France,34130,Valergues,176 av Mas de Baron,06.99.13.77.72,06.99.13.77.72,,,,form-gtm1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_37277526,Groupe Logis Hotels,1,411209,fr_FR,1,0,France,75013,Paris,83 Avenue D'italie,,,,FR24784360919,78436091900020,
soc_37275954,Logis International Services,1,411208,fr_FR,1,0,France,75013,Paris,83 Avenue D'italie,,,,FR83345210058,34521005800029,
soc_36691560,BONNEFON LOGISTIQUE,1,411204,fr_FR,1,0,France,44340,BOUGUENAIS,13 rue du Moulin Cassé,02.40.75.63.91,02.40.75.63.91,,,,form-search1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_36559918,Autorité des marchés financiers,1,411203,fr_FR,1,0,France,75002,Paris,"17, place de la Bourse",01.53.45.60.14,01.53.45.60.14,,,,autre || inter-distanciel || https://www.formations-analytics.com/contact/
soc_36517956,CODIR,1,411202,fr_FR,1,0,France,78550,Bazainville,Les Hédauves Avenue de Paris,01.30.46.81.54,,,,,
soc_36452076,Hg3,1,411200,fr_FR,1,0,Belgique,4031,Liège,3 Rue des Chasseurs Ardennais,,+32 4 325 24 54,,,,
soc_35109820,Institut Catholique De Lille,1,411197,fr_FR,1,0,France,59800,Lille,60 Boulevard Vauban,,03.59.31.50.14,,FR66775624240,77562424000013,
soc_32152508,Auvergne-rhone-alpes Orientation,1,411188,fr_FR,1,0,France,69002,Lyon,1 Rue Jacqueline Et Roland De Pury,,,,FR19880331715,88033171500065,
soc_32086754,L’Occitane International SA,1,411187,fr_FR,1,0,Suisse,1228,Plan-les-Ouates (GE),Chemin Pré Fleuri 5 CP 165,,,,,,
soc_31446708,Kuhn Sas,1,411186,fr_FR,1,0,France,67700,Saverne,4 Impasse Des Fabriques,,03.88.01.65.68,,FR67675580542,67558054200016,form-pw2 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_31170854,Opco Mobilites,1,411184,fr_FR,1,0,France,92100,Boulogne-billancourt,"65, quai Georges Gorse",,07.62.71.95.88,,FR84851240499,85124049900331,
soc_30950546,Sogedif,1,411181,fr_FR,1,0,France,75013,Paris,92 Avenue De France,01.44.16.05.12,,,FR23377768379,37776837900051,
soc_30851780,Editis,1,411180,fr_FR,1,0,France,75013,Paris 13,92 Av De France,,,,FR91478162464,47816246400042,
soc_30829936,Holding ABCM,1,411179,fr_FR,1,0,France,95610,Eragny,196 Rue De L'ambassadeur,,,,,,
soc_30461822,Dinmo,1,411178,fr_FR,1,0,France,75008,Paris,60 Rue Francois Ier,,,,FR91914591557,91459155700014,
soc_30044764,Ocapiat,1,411177,fr_FR,1,0,France,75016,Paris,153 Rue De La Pompe,,,,FR80844752006,84475200600024,
soc_28306684,COOPERL ARC ATLANTIQUE,1,411168,fr_FR,1,0,France,22400,LAMBALLE-ARMOR,7 rue de la Jeannaie Maroué,,02.96.30.71.42,,,,form-as1 || intra-presentiel ||
soc_27706372,Miléade,1,411163,fr_FR,1,0,France,43100,Brioude,5 avenue Victor Hugo,06.27.67.13.69,06.27.67.13.69,,,,"form-ga3, form-sgtm1 || intra-distanciel ||"
soc_26612719,Imosteo,1,411159,fr_FR,1,0,France,35000,Rennes,"2, rue de la Mabilais",06.60.28.86.73,06.60.28.86.73,,,,form-make1 || inter-distanciel ||
soc_26015107,CIBC Auvergne Rhone-Alpes,1,411152,fr_FR,1,0,France,69003,Lyon,11 Rue Guilloud,,07.87.97.11.82,,FR30830379079,83037907900023,
soc_25861477,Display Interactive,1,411150,fr_FR,1,0,France,92120,Montrouge,106 Avenue Marx Dormoy,,06.17.65.35.61,,FR24494141187,49414118700034,
soc_25624077,GIE RAMSAY HOSPITALISATION,1,411145,fr_FR,1,0,France,75017,Paris,39 rue Mstislav Rostropovitch,01.75.39.83.41,01.75.39.83.41,,,,form-gtm3 || inter-distanciel ||
soc_25521737,HYDRO BUILDING SYSTEMS FRANCE,1,411143,fr_FR,1,0,France,31000,Toulouse,270 rue Léon Joulin,05.61.31.24.10,05.61.31.24.10,,FR88451221295,45122129500012,form-gmt3 || inter-distanciel ||
soc_24883779,La Boutique Officielle,1,411142,fr_FR,1,0,France,69630,CHAPONOST,84 route de la gare,07.57.48.56.01,07.57.48.56.01,,FR71451876783,45187678300064,form-ls2 || inter-distanciel ||
soc_24144525,Schiever Distribution,1,411138,fr_FR,1,0,France,89200,Avallon,ZI rue de l'Etang,03.86.32.94.30,03.86.32.94.30,,,,form-as1 || intra-presentiel ||
soc_23750447,Laboratoire de Dermocosmétique Active Docteur PIERRE RICAUD,1,411136,fr_FR,1,0,France,92130,ISSY LES MOULINEAUX,"7, chemin de Bretagne",01.41.08.50.08,,,FR43329868848,32986884800303,form-ga1 || inter-distanciel ||
soc_23393705,ALTEN SUD OUEST,1,411134,fr_FR,1,0,France,31300,TOULOUSE,7 rue Alain Fournier  ZAC de Saint Martin du Touch,,,,FR51404191447,40419144700113,form-as2 || inter-distanciel ||
soc_23072733,Macif Finance Epargne,1,411131,fr_FR,1,0,France,79000,Niort,9 rue des Iris - Bessines,,06.21.03.28.87,,FR24315652263,31565226300072,
soc_22416775,Veolia Recherche et Innovation,1,411125,fr_FR,1,0,France,78600,Maison-Laffitte,Chemin de la Digue,06.15.79.89.06,06.15.79.89.06,,,,form-bq1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_19753167,Fittingbox,1,411116,fr_FR,1,0,France,31670,Labège,209 rue de l’Innovation,09.71.00.71.00,09.71.00.71.00,,,,"form-ga1, form-ls1 || inter-distanciel || https://www.formations-analytics.com/contact/"
soc_19611179,Marco Vasco,1,411111,fr_FR,1,0,France,75015,Paris,101 rue de l'Abbé Groult,01.73.10.98.00,01.73.10.98.00,,,,form-gtm1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_19514783,FEDERATION INTERNATIONALE DES LOGIS,1,411110,fr_FR,1,0,France,75013,PARIS 13,83 AV D'ITALIE,,,,FR24784360919,78436091900020,
soc_19144592,ROOFMART FRANCE,1,411105,fr_FR,1,0,France,76410,TOURVILLE LA RIVIERE,ZONE DU MOULIN,,06.76.72.85.51,,FR75444783724,44478372400016,Client apporté par Fabrice Parizel
soc_19090005,ORANGE SA,1,411104,fr_FR,1,0,France,94110,Arcueil,1 avenue du Président Nelson Mandela,06.78.36.15.52,06.78.36.15.52,,,,form-ls1 || inter-distanciel ||
soc_18848340,Innocean France,1,411101,fr_FR,1,0,France,92300,LEVALLOIS-PERRET,155 RUE ANATOLE FRANCE,,07.63.17.27.62,,FR51519306294,51930629400025,form-genai2 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_18787470,SONATEL SA,1,41199,fr_FR,1,0,Sénégal,BP 69,DAKAR,"Siege social 64, voie de dégagement Nord",,,,,NINEA 00180612G3,
soc_18736183,SC GALEC,1,41194,fr_FR,1,0,France,94200,Ivry sur Seine,26 quai Marcel Boyer,01.49.87.51.74,01.49.87.51.74,,FR36642007991,64200799100069,form-as1 || inter-distanciel || https://www.formations-analytics.com/formations/formation-google-apps-script/
soc_18618974,Vanguard Internet Sa,1,41152,,1,0,France,1005,Lausanne,Avenue de Rumine 20,,,,,,
soc_18618973,VEOLIA INDUSTRIES GLOBAL SOLUTIONS - DAF - Fournisseurs,1,41151,fr_FR,1,0,France,68070,MULHOUSE,SERVICE DAF - Comptabilité Fournisseurs,,,,,,form-bq1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_18618972,Veolia Eau - CGE,1,41150,fr_FR,1,0,France,13016,MARSEILLE 16EME ARRONDISS,"1, rue Albert Cohen",06.19.98.22.90,06.19.98.22.90,,,,form-bq1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_18618971,Katana SA,1,41149,,1,0,France,1227,Carouge,Route des Jeunes 49,,,,,,
soc_18618969,Business & Decision Interactive Eolas,1,41148,,1,0,France,38000,GRENOBLE,29 rue servan,,,,,,
soc_18618968,CAST,1,41147,,1,0,France,92190,MEUDON,3 rue marcel allegot,,,,,,
soc_18618967,ARTHUS BERTRAND,1,41146,,1,0,France,91120,PALAISEAU,40 rue de la fromenterie,,,,,,
soc_18615884,ACTALIANS,1,41138,,1,0,France,75001,PARIS 1ER ARRONDISSEMENT,4 Rue du Colonel Driant,,,,,,
soc_18615883,Opcalia,1,41137,,1,0,France,44000,NANTES,Europarc La Chantrerie,,,,,,
soc_18615882,FAFIEC,1,41136,,1,0,France,75013,PARIS 13EME ARRONDISSEMENT,25 quai Panhard et Levassor,,,,,,
soc_18615881,Opcalia ILE DE FRANCE,1,41135,,1,0,France,75009,PARIS 9EME ARRONDISSEMENT,47 rue de la Victoire,,,,,,
soc_18615880,COWORKEES,1,41134,,1,0,France,74000,ANNECY,57 RUE JEAN BAUD,,,,,,
soc_18615879,We Wall,1,41133,,1,0,France,59780,WILLEMS,2 rue d’hem,,06.20.19.34.57,,,,
soc_18570140,PARX Werk AG,1,41126,,1,0,France,8003,Zürich,Birmensdorferstrasse 108,,,,,,
soc_18570139,Movify SRL,1,41125,,1,0,France,1160,Auderghem,Clos Lucien Outers 11,,,,,,
soc_18570137,AEGIDE SAS,1,41124,,1,0,France,75116,PARIS 16EME ARRONDISSEMENT,42 Avenue Raymond Poincaré,,,,,,
soc_18570135,FIDUCIAL Bureautique,1,41123,,1,0,France,69009,LYON 9EME ARRONDISSEMENT,38 rue Sergent Michel Berthet,,,,,,
soc_18570133,Ecole Supérieure d’Ostéopathie,1,41121,,1,0,France,77420,CHAMPS SUR MARNE,8 rue Alfred Nobel,,,,,,
soc_18570131,Transports Publics Genevois,1,41120,,1,0,Suisse,1212,Grand-Lancy,Route de la Chapelle 1,,,,,,
soc_18570129,AWITEC,1,41118,,1,0,France,97231,LE ROBERT,RES CADENCE APT D37,,,,,,
soc_18570128,Audemars Piguet (Marketing) SA,1,41117,,1,0,France,CH - 1348,Le Brassus,Route de France 16,,,,,,
soc_18570127,CITADELLE SERVICES,1,41116,,1,0,France,97232,LE LAMENTIN,Immeuble TOYOTA - ZI LEs Mangles,,,,,,
soc_18570124,CIELA VILLAGE – GROUPE GB,1,41113,,1,0,France,83150,BANDOL,Le Pergolèse - 1155 Avenue Deï Reganeu,,,,,,
soc_18570123,Cultura,1,41112,,1,0,France,33700,MERIGNAC,17 Rue Archimède,,,,,,
soc_18570122,ELCA Informatique SA,1,41111,,1,0,France,1007,Lausanne,Av. de la Harpe 22-24,,,,,,
soc_18570121,T.R.B. INTERNATIONAL SA,1,41110,,1,0,France,1228,Plan-les-Ouates,chemin du Pré-Fleuri 5,,,,,,
soc_18570119,D’Home Productions,1,4118,,1,0,France,75005,PARIS 5EME ARRONDISSEMENT,24 rue Henri Barbusse,,,,,,
soc_18570116,Lememo.com,1,4115,,1,0,France,34000,MONTPELLIER,Immeuble Business PLAZA,,,,,,
soc_18570115,Solar Screen International S.A.,1,4114,,1,0,France,L-8279,HOLZEM,"22, route de Capellen",,,,,,
soc_18470535,CCI de région Auvergne-Rhône-Alpes,1,CL00452,fr_FR,1,0,France,,LYON 2EME ARRONDISSEMENT,,04.72.11.41.35,,,FR48130022692,130022692,
soc_18470534,Studio Plune Nantes,1,CL00451,fr_FR,1,0,France,,CARQUEFOU,,02.40.56.87.55,,,FR00801070228,801070228,
soc_18470533,AXIALYS,1,CL00450,fr_FR,1,0,France,92400,Courbevoie,130-190 Boulevard de Verdun Energy pak 4,01.70.20.02.26,,,,,
soc_18470532,Inelis,1,CL00449,fr_FR,1,0,France,50000,ST LO,123 rue Guillaume Fouace,02.58.17.00.23,,,FR23429139579,429139579,
soc_18470531,PHODE,1,CL00448,fr_FR,1,0,France,,TERSSAC,,05.63.77.80.65,,,FR56791046881,791046881,
soc_18470530,Soledis,1,CL00447,fr_FR,1,0,France,56000,Vannes,9 avenue Georges Pompidou,,,,FR59498898014,498898014,
soc_18470529,Vivaticket,1,CL00446,fr_FR,1,0,France,86360,Chasseneuil du Poitou,3 avenue Gustave Eiffel,05.49.62.64.52,,,FR90343670832,343670832,
soc_18470528,SPORT-DECOUVERTE,1,CL00445,fr_FR,1,0,France,,LA CIOTAT,,,,,FR26445101512,445101512,
soc_18470527,SALAÜN HOLIDAYS,1,CL00444,fr_FR,1,0,France,29590,PONT DE BUIS LES QUIMERCH,38 Rue de Quimper,02.98.73.76.71,,,FR70319394797,319394797,
soc_18470526,Mermoz 2,1,CL00443,fr_FR,1,0,France,,PARIS,,,,,FR43442223269,442223269,
soc_18470524,Hefed Développement,1,CL00440,fr_FR,1,0,France,,LE SUBDRAY,,02.48.66.73.30,,,FR40540090933,540090933,
soc_18470523,RESEAU ETUDIANT POUR UNE SOCIETE ECOLOGIQUE ET SOLIDAIRE,1,CL00439,fr_FR,1,0,France,,PARIS,,,,,FR39510614217,510614217,
soc_18470522,Passedevant,1,CL00438,fr_FR,1,0,France,,NANTES,,,,,FR09841367717,841367717,
soc_18470521,WE ALL BLOOM,1,CL00437,fr_FR,1,0,France,,BELLEY,,,,,FR48830734687,830734687,
soc_18470516,Amphenol SOCAPEX,1,CL00432,fr_FR,1,0,France,,THYEZ,,,,,FR59035650167,35650167,form-genai2 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_18470515,SA COOPERATIVE DES PARFUMEURS PASSION BEAUTE,1,CL00431,fr_FR,1,0,France,,FONTENAY SOUS BOIS,,01.41.79.64.36,,,FR11412652679,412652679,
soc_18470513,NOA NETWORK,1,CL00429,fr_FR,1,0,France,,SCHILTIGHEIM,,06.26.30.42.30,,,FR07832064802,832064802,form-genai2 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_18470512,PLUS QUE PRO DIGITAL,1,CL00428,fr_FR,1,0,France,,OBERNAI,,06.26.30.42.30,,,FR93897956090,897956090,
soc_18470511,Imerys Ceramics France,1,CL00427,fr_FR,1,0,France,,POIGNY,,06.70.77.12.86,,,FR63490096591,490096591,
soc_18470510,PAM STUDIO,1,CL00426,fr_FR,1,0,France,,TOULOUSE,,,,,FR08750050106,750050106,
soc_18470509,EM Normandie,1,CL00425,fr_FR,1,0,France,,LE HAVRE,,02.31.46.94.49,,,FR42479806630,479806630,form-genai2 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_18470508,APAVE SA,1,CL00424,fr_FR,1,0,France,92400,COURBEVOIE,6 rue du Général Audran,,,,FR20527573141,527573141,
soc_18470507,FGP Solutions,1,CL00423,fr_FR,1,0,France,,RIBEAUVILLE,,03.89.73.18.59,,,FR03449152289,449152289,
soc_18470506,WITT GROUP France,1,CL00422,fr_FR,1,0,France,,VILLENEUVE D ASCQ,,03.20.20.11.82,,,FR40428625032,428625032,
soc_18470505,CIMES pour MICHAEL PAGE ADVERTISING,1,CL00421,fr_FR,1,0,France,,Sophia Antipolis Cedex,,01.74.70.00.82,,,FR65340512342,340512342,
soc_18470504,ISAGRI SAS,1,CL00420,fr_FR,1,0,France,,TILLE,,,,,FR63327733432,327733432,
soc_18470501,ECOLHUMA,1,CL00417,fr_FR,1,0,France,,PARIS,,,,,FR82752909432,752909432,
soc_18470500,Christaud,1,CL00416,fr_FR,1,0,France,,ECHIROLLES,,07.85.52.91.04,,,FR90061501615,61501615,
soc_18470499,Business & Decision University,1,CL00415,fr_FR,1,0,France,,Paris La Défense Cedex,,01.56.21.21.21,,,FR49381837764,381837764,
soc_18470496,VISIPERF,1,CL00411,fr_FR,1,0,France,,AUDINCOURT,,,,,FR88803825025,803825025,
soc_18470495,Addinsoft,1,CL00410,fr_FR,1,0,France,,PARIS,,,,,FR70429102767,429102767,
soc_18470494,AGRO SERVICE 2000,1,CL00409,fr_FR,1,0,France,,MENAT,,04.73.52.78.93,,,FR19433159290,433159290,
soc_18470493,SAS Inlead,1,CL00408,fr_FR,1,0,France,,NANTES,,02.52.35.02.02,,,FR95818792095,818792095,
soc_18470492,QWERTYS,1,CL00407,fr_FR,1,0,France,,PARIS,,,,,FR78832232474,832232474,
soc_18470491,SAS Texdecor,1,CL00406,fr_FR,1,0,France,59780,Willems,2 Rue d'Hem,,,,FR65301420469,301420469,
soc_18470490,PLUS QUE PRO STUDIO,1,CL00405,fr_FR,1,0,France,,SCHILTIGHEIM,,03.88.95.33.55,,,FR37904763208,904763208,
soc_18470489,EI MICHAEL LAZARO,1,CL00404,fr_FR,1,0,France,,VEDENE,,04.84.51.01.76,,,FR86512814807,512814807,
soc_18470488,Hopening,1,CL00403,fr_FR,1,0,France,,PUTEAUX,,,,,FR92349611921,349611921,
soc_18470487,HELLOWORK,1,CL00402,fr_FR,1,0,France,,RENNES,,02.30.05.07.72,,,FR69428843130,428843130,
soc_18470486,Fondation du patrimoine,1,CL00401,fr_FR,1,0,France,92200,Neuilly-sur-Seine,"153 bis, avenue Charles de Gaulle",06.42.06.77.88,06.42.06.77.88,,FR95413812827,413812827,form-perso || intra-distanciel ||
soc_18470485,Holding AEGIDE SAS,1,CL00400,fr_FR,1,0,France,,TOURS,,01.83.75.84.73,,,FR96401397765,401397765,
soc_18470483,Macif,1,CL00398,fr_FR,1,0,France,79060,NIORT Cedex 9,TSA 77221,,04.72.72.68.37,,,,
soc_18470480,APERAM STAINLESS FRANCE,1,CL00395,fr_FR,1,0,France,,ISBERGUES,,,,,,501651616,
soc_18470479,Derbigum/Imperbel,1,CL00394,fr_FR,1,0,France,,Beersel,,0474593012,,,,,
soc_18470478,Skilz,1,CL00393,fr_FR,1,0,France,,HERICOURT,,,,,FR02487990830,487990830,
soc_18470477,OptimEurope Holding,1,CL00392,fr_FR,1,0,France,,PARIS,,06.33.23.16.34,,,FR54844508010,844508010,
soc_18470476,Groupe SAMSE,1,CL00391,fr_FR,1,0,France,,GRENOBLE,,,,,FR32056502248,56502248,
soc_18470473,OPCO 2i,1,CL00388,fr_FR,1,0,France,75008,PARIS,23 Rue Balzac,,,,,,
soc_18470472,Codes Rousseau,1,CL00387,fr_FR,1,0,France,,LES SABLES D OLONNE,,02.51.23.11.36,,,FR58486580210,486580210,
soc_18470471,Yelloh ! Village - Europe Plein-Air,1,CL00386,fr_FR,1,0,France,,AIGUES MORTES,,04.66.73.63.18,,,FR39432366839,432366839,
soc_18470469,VACANCES BLEUES GESTION,1,CL00384,fr_FR,1,0,France,,MARSEILLE 6EME ARRONDISSE,,04.91.00.96.87,,,FR95451238240,451238240,
soc_18470467,TRINOV,1,CL00382,fr_FR,1,0,France,,PARIS,,,,,FR22498582493,498582493,form-genai2 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_18470466,INCINÉRIS SASU,1,CL00381,fr_FR,1,0,France,,VILLENEUVE D ASCQ,,,,,FR68805018959,805018959,
soc_18470463,Abbeal,1,CL00378,fr_FR,1,0,France,,PARIS,,,,,FR10790172928,790172928,
soc_18470462,AVERY DENNISON,1,CL00377,fr_FR,1,0,France,38560,Champ-sur-Drac,Zone industrielle,04.76.33.76.61,,,FR59781596754,781596754,
soc_18470455,SHIGETA SAS,1,CL00370,fr_FR,1,0,France,,PARIS,,,,,FR89519493258,519493258,
soc_18470452,Persistent Systems Switzerland AG,1,CL00367,fr_FR,1,0,Suisse,,Zürich,,,,,,,
soc_18470450,Lodgis,1,CL00365,fr_FR,1,0,France,,PARIS,,01.73.01.81.75,,,FR42423936376,423936376,
soc_18470445,Weglio,1,CL00360,fr_FR,1,0,France,,BORDEAUX,,,,,FR42824747166,824747166,
soc_18470444,ADLPartner,1,CL00359,fr_FR,1,0,France,,MONTREUIL,,,,,FR91393376801,393376801,
soc_18470440,SEJER,1,CL00355,fr_FR,1,0,France,,PARIS,,01.45.87.43.13,,,FR58393291042,393291042,
soc_18470439,Logic Design,1,CL00354,fr_FR,1,0,France,,BOULOGNE BILLANCOURT,,01.46.04.96.74,,,FR79347962755,347962755,
soc_18470438,GALERIES LAFAYETTE HAUSSMANN,1,CL00353,fr_FR,1,0,France,,PARIS,,01.42.82.88.44,,,FR59824041529,824041529,
soc_18470437,OPCOMMERCE,1,CL00352,fr_FR,1,0,France,,PARIS,,,,,,398522243,
soc_18470436,STPI,1,CL00351,fr_FR,1,0,France,,ALLENJOIE,,03.70.07.20.20,,,,434011052,
soc_18470432,Air Liquide,1,CL00347,fr_FR,1,0,France,81700,BLAN,ARCHIBALD Scandocs Center / 0715 C80010,,,,,314119504,
soc_18470429,S-E-CO,1,CL00344,fr_FR,1,0,France,,COLOMBES,,,,,FR40898278080,898278080,
soc_18470427,Odiens,1,CL00342,fr_FR,1,0,France,,VERTOU,,02.55.58.44.52,,,FR65820451367,820451367,
soc_18470425,TYREDATING,1,CL00340,fr_FR,1,0,France,,LYON 3EME ARRONDISSEMENT,,04.88.68.21.30,,,,503812208,
soc_18470424,Digital Passengers,1,CL00339,fr_FR,1,0,France,,BORDEAUX,,05.40.05.62.99,,,FR25827665373,827665373,
soc_18470423,GIE AGPM Gestion,1,CL00338,fr_FR,1,0,France,,TOULON,,04.94.61.58.01,,,FR71323379040,323379040,
soc_18470422,Equaero,1,CL00337,fr_FR,1,0,France,,PARIS,,,,,FR24841646888,841646888,
soc_18470419,OPCO 2i GRAND EST,1,CL00334,fr_FR,1,0,France,,METZ CEDEX 03,,03.62.40.40.47,,,FR37878238849,878238849,
soc_18470417,FIDUCIAL Bureautique Lyon,1,CL00332,fr_FR,1,0,France,,LYON 9EME ARRONDISSEMENT,,04.72.20.36.85,,,,955510029,
soc_18470416,SIDEM,1,CL00331,fr_FR,1,0,France,,ST MAURICE,,01.49.95.77.67,,,FR19342500956,342500956,
soc_18470415,Webitics,1,CL00330,fr_FR,1,0,France,,ROANNE,,,,,FR37832298194,832298194,
soc_18470414,Miss Numerique,1,CL00329,fr_FR,1,0,France,,JARVILLE LA MALGRANGE,,03.83.18.26.08,,,,478502222,
soc_18470411,DAFY @STORE,1,CL00326,fr_FR,1,0,France,,BEAUMONT,,04.73.28.69.93,,,FR08824484026,824484026,
soc_18470410,Dada Sport SAS,1,CL00324,fr_FR,1,0,France,,PARIS,,,,,FR52752263111,752263111,
soc_18470408,AKTO - Réseau Opcalia OCCITANIE,1,CL00322,fr_FR,1,0,France,,MONTPELLIER,,,,,FR77853000982,853000982,
soc_18470406,UGAP,1,CL00320,fr_FR,1,0,France,,CHAMPS SUR MARNE,,01.64.73.22.60,,,FR51776056467,776056467,
soc_18470405,AFT,1,CL00319,fr_FR,1,0,France,,PARIS,,01.88.40.11.75,,,FR79775692015,775692015,
soc_18470402,LITTLE BIG CONNECTION SAS,1,CL00316,fr_FR,1,0,France,,LEVALLOIS PERRET,,,,,,793569757,
soc_18470401,LE PARISIEN MANAGEMENT,1,CL00314,fr_FR,1,0,France,,PARIS,,01.87.39.74.54,,,FR38797767035,797767035,
soc_18470400,LE PARISIEN Libéré,1,CL00313,fr_FR,1,0,France,,PARIS,,01.87.39.78.10,,,FR23332890359,332890359,
soc_18470398,DITY,1,CL00311,fr_FR,1,0,France,,FRELINGHIEN,,,,,FR14789783636,789783636,
soc_18470395,Brico Dépôt,1,CL00308,fr_FR,1,0,France,,LONGPONT SUR ORGE,,01.69.63.09.23,,,FR94451647903,451647903,
soc_18470394,TIMPAE,1,CL00307,fr_FR,1,0,France,,CRETEIL,,01.45.17.69.91,,,FR15798011920,798011920,
soc_18470393,UPMYBIZ,1,CL00306,fr_FR,1,0,France,,LYON 2EME ARRONDISSEMENT,,05.57.92.90.70,,,,750873051,
soc_18470392,BAZARCHIC,1,CL00305,fr_FR,1,0,France,,CLICHY,,01.84.20.05.71,,,FR30489583062,489583062,
soc_18470388,Institut Polytechnique de Grenoble,1,CL00301,fr_FR,1,0,France,,GRENOBLE,,,,,,193819125,
